Business_name,Username,Review Date,Visit Date,Review Title,Review Text,Rating
Albeta Mediterranean Bakery,Traveler32528783809,"June 2, 2023",June 2023,Highly recommended,"Top quality products, exceptional customer service and tasty food. Coffee is also very good and one of my favorite choices.",5.0
Albeta Mediterranean Bakery,Tourist30751701237,"May 31, 2023",May 2023,Breakfast,A great place for breakfast! I really enjoyed the tortilla chicken and the fresh pomegranate juice.,5.0
Albeta Mediterranean Bakery,Maria D,"May 10, 2023",May 2023,You have to try it,The stuff was very helpful and kind! They also have a beg variety of pastries and the best coffee in town!,5.0
Albeta Mediterranean Bakery,Stella K,"April 3, 2023",March 2023,Best bakery/quick bites,The best bakery in Thessaloniki. Highest quality of ingredients featuring baked goods to sandwiches & salads,5.0
Albeta Mediterranean Bakery,vagmarga,"March 3, 2023",March 2023,Delicious stuff for all day long!,"It has everything, from delicious food to polite staff! It has variety of food, coffee and you can find kombucha (for the ones that love it and cannot find it easily in Thessaloniki). Don’t forget to check out the sweets as well :)",5.0
Albeta Mediterranean Bakery,880noran,"February 27, 2023",February 2023,The best,"The best in town. Wonderful coffee, nice people, everything fresh and tasty. So nice to be there. Mornings get beautiful. 🙏🏻 💗💗💗💗",5.0
Albeta Mediterranean Bakery,428myrtoc,"February 23, 2023",February 2023,Hot spot bakery,The cutest bakery located at the center of downtown Thessaloniki. Best quality and a variety of sweet and savoury pastries makes you want to try them all!,5.0
Albeta Mediterranean Bakery,385costast,"February 19, 2023",February 2023,Nice cozy place,Excellent coffee and snacks… nice place overall in the heart of business city centre….and/or shopping break,5.0
Albeta Mediterranean Bakery,Freya C,"August 5, 2022",August 2022,Delicious bakery,Friendly and delicious bakery with amazing ice coffees. Would recommend to anyone for breakfast or a snack. Will be visiting again !,5.0
Albeta Mediterranean Bakery,Resort50758916154,"November 24, 2021",November 2021,Hands down the best bakery in Thessaloniki,"Phenomenal bakery. We stayed nearby and ended up grabbing breakfast pastries, fresh squeezed orange juice, and coffee there everyday. Also many great lunch options. Vegan choices as well. Very accommodating staff and excellent service.",5.0
Albeta Mediterranean Bakery,antonia_ganiti,"August 30, 2020",August 2020,I LOVE THIS BAKERY,"I love this place everyone and everything was excellent. All the pastry and sandwiches were so fresh and healthy. All the staff are so kind and generous.
I recommend everyone to visit this excellent bakery in Thessaloniki. One of the best places I've been in the last years. Keep it up Albeta and hope to see you soon.
Can't wait to eat my favorite Cheesecake and drink my favourite coffee.
Thank you",5.0
Albeta Mediterranean Bakery,424neslia,"August 23, 2020",August 2020,Very good place,"Very good place. I went it here 2 times in 4 days for dessert They had very good orange cake. It was very very delicious. If you go there.,i recommend eat orange cake. Staff was very kindly.",5.0
Albeta Mediterranean Bakery,JackY886,"October 28, 2019",October 2019,A nice surprise,"Very nice looking, good food (sandwiches and pastries), amiable service and relatively cheap. Worth a visit",5.0
Albeta Mediterranean Bakery,"KJ1711
London, United Kingdom","October 25, 2019",September 2019,Great little find,We were in a hurry to pick up a quick snack and some coffee on our way out of the city and found this place as we were walking by. My boyfriend got a lovely iced coffee and a few pastries which were delicious - they had a really cool range of pastries and cakes on offer. great!,5.0
Albeta Mediterranean Bakery,tommydarker,"September 9, 2019",September 2019,A truly unique bakery with friendly staff,"Brilliant bakery, with tasty pastries that I can't have enough of. My place of choice for quality coffee. Super-friendly staff that were calling me by name from my first week as a customer. Can't recommend this place enough!",5.0
Albeta Mediterranean Bakery,Yona S,"June 25, 2019",June 2019,"A great place for a light breakfast , lunch or dinner",They serve a very nice small salad or a cup of fruit. They have nice sendwiches and nice cakes with a very good cuppuochino We went there several times during our vacation and it was always very nice. Yona S.,5.0
Albeta Mediterranean Bakery,konsmavr,"May 22, 2019",May 2019,No1,"The very best breakfast in Thessaloniki.Nothing to compare with.You can taste the stunning greek food in a pleasant place.Excellent choice for everyone as you can find huge variety in the best quality.Highly recommended.
Enjoy it!",5.0
Albeta Mediterranean Bakery,Apontoul,"May 2, 2019",April 2019,Very nice!,"Definitely visit it again! Value for money!Quality drinks and snacks ,very polite staff! Really know how to treat you!",5.0
Albeta Mediterranean Bakery,Marinakstar,"April 14, 2019",April 2019,Nice,"Delicious fresh sandwiches and pastry, very good espresso, all self-service. Nice location, cost atmosphere and good light.",5.0
Albeta Mediterranean Bakery,"mariolL8675SQ
Rostock, Germany","April 12, 2019",April 2019,Fantastic small bakery,"Perfect for a breakfast with delicious sweets as well as small hot pieces. Coffee is extremely good to wake up, ideally to enjoy with fresh squeezed orange juice. Nice atmosphere in the morning ...

Located directly in Thessaloniki's city centre, close to all hot spots of the town.",5.0
Albeta Mediterranean Bakery,REDMAN5314,"January 28, 2019",March 2018,Cozy place,"Good for coffee, pastries and breakfast. Accessible cafe and comfortable to sit down with your friends and discuss.",5.0
Albeta Mediterranean Bakery,nicoletsolaki,"January 7, 2019",December 2018,Love this place! A must in Thessaloniki,One of the coziest places in Thessaloniki! Coffee and dessert lovers should definitely visit this bakery! Also the best place for a delicious breakfast !,5.0
Albeta Mediterranean Bakery,ozgegocer,"November 28, 2018",November 2018,It could have been better,"I tried salmon sandwich. Sandwich itself was big, the ingredients and the taste was good but could have been much more inside.",3.0
